numer_sta;Nom usuel;Departement;Commune;Altitude;Latitude;Longitude
7005;ABBEVILLE;80;ABBEVILLE;70;50.135833;1.834667
7015;LILLE-LESQUIN;59;LESQUIN;47;50.570000;3.097500
7020;PTE DE LA HAGUE;50;AUDERVILLE;6;49.725167;-1.939833
7027;CAEN-CARPIQUET;14;CARPIQUET;67;49.180000;-0.456167
7037;ROUEN-BOOS;76;BOOS;151;49.383000;1.181667
7072;REIMS-PRUNAY;51;PRUNAY;95;49.209667;4.155333
7110;BREST-GUIPAVAS;29;GUIPAVAS;94;48.444167;-4.412000
7117;PLOUMANAC'H;22;PERROS-GUIREC;55;48.825833;-3.473167
7130;RENNES-ST JACQUES;35;SAINT-JACQUES-DE-LA-LANDE;36;48.068833;-1.734000
7139;ALENCON;61;ALENCON;143;48.445500;0.110167
7149;ORLY;91;ATHIS-MONS;89;48.716833;2.384333
7168;TROYES-BARBEREY;10;BARBEREY-SAINT-SULPICE;112;48.324667;4.020000
7181;NANCY-OCHEY;54;OCHEY;336;48.581000;5.959833
7190;STRASBOURG-ENTZHEIM;67;ENTZHEIM;150;48.549500;7.640333
7207;BELLE ILE-LE TALUT;56;BANGOR;34;47.294333;-3.218333
7222;NANTES-BOUGUENAIS;44;BOUGUENAIS;26;47.150000;-1.608833
7240;TOURS;37;PARCAY-MESLAY;108;47.444500;0.727333
7255;BOURGES;18;BOURGES;161;47.059167;2.359833
7280;DIJON-LONGVIC;21;OUGES;219;47.267833;5.088333
7299;BALE-MULHOUSE;68;SAINT-LOUIS;263;47.614333;7.510000
7314;PTE DE CHASSIRON;17;SAINT-DENIS-D'OLERON;11;46.046833;-1.411667
7335;POITIERS-BIARD;86;BIARD;123;46.593833;0.314333
7434;LIMOGES-BELLEGARDE;87;LIMOGES;402;45.861167;1.175000
7460;CLERMONT-FD;63;CLERMONT-FERRAND;331;45.786833;3.149333
7471;LE PUY-LOUDES;43;CHASPUZAC;833;45.074500;3.764000
7481;LYON-ST EXUPERY;69;COLOMBIER-SAUGNIEU;235;45.726500;5.077833
7510;BORDEAUX-MERIGNAC;33;MERIGNAC;47;44.830667;-0.691333
7535;GOURDON;46;GOURDON;260;44.745000;1.396667
7558;MILLAU;12;MILLAU;712;44.118500;3.019500
7577;MONTELIMAR;26;MONTELIMAR;73;44.581167;4.733000
7591;EMBRUN;5;EMBRUN;871;44.565667;6.502333
7607;MONT-DE-MARSAN;40;MONT-DE-MARSAN;59;43.909833;-0.500167
7621;TARBES-OSSUN;65;OSSUN;360;43.188000;0.000000
7627;ST GIRONS;9;LORP-SENTARAILLE;414;43.005333;1.106833
7630;TOULOUSE-BLAGNAC;31;BLAGNAC;151;43.621000;1.378833
7643;MONTPELLIER;34;MAUGUIO;2;43.577000;3.963167
7650;MARIGNANE;13;MARIGNANE;9;43.437667;5.216000
7661;CAP CEPET;83;SAINT-MANDRIER-SUR-MER;115;43.079333;5.940833
7690;NICE;6;NICE;2;43.648833;7.209000
7747;PERPIGNAN;66;PERPIGNAN;42;42.737167;2.872833
7761;AJACCIO;20;AJACCIO;5;41.918000;8.792667
7790;BASTIA;20;LUCCIANA;10;42.540667;9.485167
61968;GLORIEUSES;984;ILES-EPARSES;3;-11.582667;47.289667
61970;JUAN DE NOVA;984;ILES-EPARSES;9;-17.054667;42.712000
61972;EUROPA;984;ILES-EPARSES;6;-22.344167;40.340667
61976;TROMELIN;984;ILES-EPARSES;7;-15.887667;54.520667
61980;GILLOT-AEROPORT;974;SAINTE-MARIE;8;-20.892500;55.528667
61996;NOUVELLE AMSTERDAM;984;TAAF;27;-37.795167;77.569167
61997;CROZET;984;TAAF;146;-46.432500;51.856667
61998;KERGUELEN;984;TAAF;29;-49.352333;70.243333
67005;PAMANDZI;985;DZAOUDZI;7;-12.805500;45.282833
71805;ST-PIERRE;975;SAINT-PIERRE;21;46.766333;-56.179167
78890;LA DESIRADE METEO;971;LA DESIRADE;27;16.335000;-61.004000
78894;ST-BARTHELEMY METEO;971;SAINT-BARTHELEMY;44;17.901500;-62.852167
78897;LE RAIZET AERO;971;LES ABYMES;11;16.264000;-61.516333
78922;TRINITE-CARAVEL;972;LA TRINITE;26;14.774500;-60.875333
78925;LAMENTIN-AERO;972;LE LAMENTIN;3;14.595333;-60.995667
81401;SAINT LAURENT;973;SAINT-LAURENT-DU-MARONI;5;5.485500;-54.031667
81405;ROCHAMBEAU;973;MATOURY;4;4.822333;-52.365333
81408;SAINT GEORGES;973;SAINT-GEORGES;6;3.890667;-51.804667
81415;MARIPASOULA;973;MARIPASOULA;106;3.640167;-54.028333
89642;DUMONT D'URVILLE;984;TAAF;43;-66.663167;140.001000
